OBJECTID	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	FROM_X	FROM_Y	NEAR_X	NEAR_Y
1	0	8	929.7644258	1	-3.7122567	40.4238823	-3.7031662	40.4192091
2	0	10	2444.381887	2	-3.7122567	40.4238823	-3.7071303	40.4455439
3	0	1	2554.060586	3	-3.7122567	40.4238823	-3.6823158	40.4215533
4	0	14	2570.59323	4	-3.7122567	40.4238823	-3.6903729	40.4398904
5	0	15	2734.261277	5	-3.7122567	40.4238823	-3.6824999	40.4144444
6	0	6	3019.861373	6	-3.7122567	40.4238823	-3.7473445	40.4193577
7	0	13	3586.190482	7	-3.7122567	40.4238823	-3.6868138	40.3980991
8	0	5	3633.631752	8	-3.7122567	40.4238823	-3.7318356	40.3947825
9	0	2	4261.336107	9	-3.7122567	40.4238823	-3.6773491	40.4514734
10	0	19	4349.118698	10	-3.7122567	40.4238823	-3.7187679	40.3850336
11	0	16	5042.03613	11	-3.7122567	40.4238823	-3.6887449	40.4655841
12	0	9	5950.96836	12	-3.7122567	40.4238823	-3.6453104	40.4079517
13	0	11	6035.502258	13	-3.7122567	40.4238823	-3.7115364	40.4782322
14	0	3	6450.266416	14	-3.7122567	40.4238823	-3.6392422	40.4400457
15	0	12	6505.307302	15	-3.7122567	40.4238823	-3.6515286	40.3881478
16	0	4	8521.320388	16	-3.7122567	40.4238823	-3.7133167	40.347147
17	0	23	8724.945837	17	-3.7122567	40.4238823	-3.6897308	40.5005477
18	0	20	8957.169189	18	-3.7122567	40.4238823	-3.6605173	40.4942012
19	0	22	9108.097355	19	-3.7122567	40.4238823	-3.6163407	40.4607255
20	0	17	10205.40164	20	-3.7122567	40.4238823	-3.6121394	40.3730118
21	0	21	11719.68679	21	-3.7122567	40.4238823	-3.7746101	40.5180701
22	0	18	11961.87208	22	-3.7122567	40.4238823	-3.5805649	40.4623628
23	0	7	12669.17774	23	-3.7122567	40.4238823	-3.5800258	40.4769179
24	1	15	789.5458968	1	-3.6823158	40.4215533	-3.6824999	40.4144444
25	1	8	1788.57327	2	-3.6823158	40.4215533	-3.7031662	40.4192091
26	1	14	2147.918941	3	-3.6823158	40.4215533	-3.6903729	40.4398904
27	1	0	2554.060586	4	-3.6823158	40.4215533	-3.7122567	40.4238823
28	1	13	2632.249439	5	-3.6823158	40.4215533	-3.6868138	40.3980991
